Site,sampled,Site_ID,Field_Type,p100m_1,p100m_2,p100m_3,p100m_4,p100m_5,p100m_6,p100m_7,p250m_1,p250m_2,p250m_3,p250m_4,p250m_5,p250m_6,p250m_7,p500m_1,p500m_2,p500m_3,p500m_4,p500m_5,p500m_6,p500m_7,p1km_1,p1km_2,p1km_3,p1km_4,p1km_5,p1km_6,p1km_7,p1.5km_1,p1.5km_2,p1.5km_3,p1.5km_4,p1.5km_5,p1.5km_6,p1.5km_7,p2km_1,p2km_2,p2km_3,p2km_4,p2km_5,p2km_6,p2km_7,p2.5km_1,p2.5km_2,p2.5km_3,p2.5km_4,p2.5km_5,p2.5km_6,p2.5km_7,p3km_1,p3km_2,p3km_3,p3km_4,p3km_5,p3km_6,p3km_7,p3.5km_1,p3.5km_2,p3.5km_3,p3.5km_4,p3.5km_5,p3.5km_6,p3.5km_7,p4km_1,p4km_2,p4km_3,p4km_4,p4km_5,p4km_6,p4km_7
Split Rock Consevation Area,Y,SR,Natural,0,0.003215434,0.877813505,0,0.045016077,0,0.073954984,0,0.103975535,0.531600408,0,0.189602446,0,0.174821611,0,0.09663437,0.499872514,0,0.243243243,0,0.160249873,0.002102179,0.15186648,0.452095808,0.00426806,0.258886482,0.001242196,0.129538795,0.007489947,0.205612505,0.370646203,0.001897265,0.285892281,0.005805063,0.122656737,0.006784844,0.208825075,0.388320831,0.00645038,0.280695048,0.010010034,0.098913788,0.004347139,0.232747769,0.322875737,0.008801301,0.322345722,0.016491609,0.092390723,0.003019052,0.252761566,0.285284509,0.016783524,0.35233366,0.013286661,0.076531028,0.007806426,0.257723863,0.273914004,0.014601292,0.373150785,0.0127368,0.06006683,0.010242822,0.265845516,0.257551717,0.015434907,0.391283747,0.011242218,0.048399074
Sugarfoot Prairie Conservation Area,N,NA,Natural,0,0,0.035031847,0,0.133757962,0,0.831210191,0,0.038716251,0.163525217,0,0.279673968,0,0.518084564,0,0.076139547,0.284695696,0,0.325948561,0,0.313216196,0,0.17224027,0.33651825,0.001496911,0.355659596,0.004299637,0.129785337,0,0.212369587,0.319800116,0.005053722,0.367760932,0.006794921,0.088220722,0,0.246872686,0.275084205,0.006115283,0.378016833,0.006178983,0.08773201,0.000708389,0.265049434,0.256757721,0.022439099,0.367108348,0.007782081,0.080154928,0.00121394,0.300112192,0.251335157,0.029644206,0.349363478,0.006954497,0.06137653,0.002324487,0.324884751,0.241481431,0.021957821,0.349632476,0.008785729,0.050933305,0.00751296,0.314304086,0.227031127,0.017295335,0.372180152,0.01193832,0.049738022
Fred Cone Park,Y,FC,Manicured,0,0,0,0.909967846,0,0.090032154,0,0,0.141836735,0.15255102,0.512755102,0.060204082,0.029591837,0.103061224,0,0.16817429,0.458402344,0.145241432,0.115683527,0.007389476,0.105108931,0,0.266817429,0.415052873,0.036310358,0.147630271,0.016339661,0.117849408,0.004331823,0.232332956,0.425764439,0.024249717,0.202194224,0.007899207,0.103227633,0.014660678,0.232126077,0.400321723,0.014668642,0.258875245,0.007374138,0.071973498,0.020064929,0.257006416,0.408234928,0.017537064,0.227446703,0.006008776,0.063701182,0.018680276,0.248170197,0.428570417,0.013923495,0.224690668,0.006352993,0.059611954,0.023933349,0.262088889,0.435995715,0.019637619,0.200593913,0.006675022,0.051075493,0.037344068,0.251030257,0.435761753,0.026593563,0.185517876,0.007256591,0.056495893
Longleaf Flatwood Reserve ,Y,LL,Manicured,0,0,1,0,0,0,0,0,0.044184865,0.895886237,0,0,0,0.059928898,0,0.024452369,0.916709119,0,0,0,0.058838512,0,0.012610662,0.847621171,0,0,0,0.139768168,0.00239248,0.008465698,0.813145899,0,0,0.00021235,0.175783573,0.012533244,0.006362174,0.797517239,0,0,0.000214992,0.18337235,0.020067367,0.005600314,0.8044935,0,0.003995128,0.000137587,0.165706103,0.02245998,0.006721006,0.807932839,0.000233589,0.005000938,9.56E-05,0.157556088,0.027218384,0.007121814,0.807320986,0.000278216,0.004074437,0.000202812,0.15378335,0.043311476,0.010441177,0.77223702,0.000213004,0.007090843,0.000414064,0.166292417
Longleaf Flatwood Reserve ,N,NA,Natural,0,0,1,0,0,0,0,0,0.036697248,0.874108053,0,0,0,0.089194699,0,0.024079501,0.893107402,0,0,0,0.082813097,0,0.012549369,0.842336603,0,0,0,0.145114027,0.000608738,0.008451542,0.797389507,0,0,0.000382231,0.193167983,0.011665499,0.006354313,0.779677347,0,0,0.000214996,0.202087846,0.02007156,0.005892007,0.794320024,0,0.001758428,0.000137616,0.177820365,0.019904864,0.006137097,0.810578175,0.000378702,0.003755167,9.56E-05,0.159150433,0.026272339,0.006830704,0.804481171,0.000278221,0.00419931,0.000202815,0.157735441,0.042192648,0.008777361,0.769682371,0.000213014,0.005633915,0.000378249,0.173122443
29th Road Nature Park,Y,29RD,Natural,0,0.063897764,0.658146965,0,0.277955272,0,0,0,0.25127421,0.338430173,0,0.372579001,0.037716616,0,0,0.387996942,0.176860347,0.019750255,0.400993884,0.014398573,0,0,0.377333248,0.106867554,0.011053067,0.501146716,0.003599414,0,0,0.361315987,0.099038775,0.015954359,0.511303954,0.003935503,0.008451422,0,0.384625797,0.095153161,0.008973859,0.493339279,0.006585076,0.011322828,0,0.392486215,0.120911602,0.006487418,0.446897965,0.010910888,0.022305913,0,0.369234308,0.136876006,0.007471112,0.432839624,0.011017324,0.042561625,0,0.368554067,0.157026856,0.009979121,0.410631222,0.008476273,0.04533246,0,0.36778504,0.174333625,0.012502314,0.392716008,0.007618847,0.045044166
Bivens Arm Nature Park,N,NA,Natural,0,0.006329114,0.993670886,0,0,0,0,0,0.098677518,0.596134283,0,0.213123093,0,0.092065107,0,0.153914704,0.459325271,0,0.311648631,0.003819223,0.071292171,0,0.168997038,0.255502118,0,0.283976176,0.043825843,0.247698825,0.000919989,0.151387768,0.260413571,0.004599946,0.240782415,0.061568511,0.280327799,0.011060326,0.171224041,0.24399605,0.011092177,0.224256275,0.059959867,0.278411263,0.02233219,0.218612876,0.238004475,0.022658356,0.196224627,0.041733981,0.260433495,0.026033225,0.253802705,0.225869013,0.020144252,0.194831577,0.030825093,0.248494136,0.034782134,0.274611668,0.218328939,0.016076694,0.196693136,0.024298351,0.235209078,0.037361316,0.285044524,0.231844415,0.012309107,0.186687132,0.026292476,0.220461029
Clear Lake Nature Park,N,NA,Natural,0,0.126582278,0.712025316,0,0,0,0.161392405,0,0.055329949,0.78071066,0,0.013705584,0,0.150253807,0,0.067226891,0.572829132,0,0.171122995,0.001527884,0.187293099,0,0.24857534,0.256820859,0.001496291,0.341313553,0.012225017,0.139568941,0,0.308524191,0.22915664,0.000665289,0.376581831,0.008832772,0.076239278,0,0.297468606,0.228088197,0.002229601,0.38325251,0.009842096,0.079118989,0,0.285822755,0.240668172,0.005177413,0.38423437,0.00733297,0.076764321,0.003807946,0.287952946,0.246115081,0.010330293,0.383211769,0.007081506,0.061500458,0.011144075,0.285005941,0.24248893,0.021177902,0.383305729,0.008829976,0.048047447,0.009616992,0.289831588,0.241515706,0.017709121,0.38241032,0.012340248,0.046576024
San Felasco Park ,N,NA,Manicured,0,0.161392405,0.699367089,0,0,0,0.139240506,0,0.086713996,0.867139959,0,0,0,0.046146045,0,0.170741024,0.585179526,0,0.117010441,0.006238859,0.12083015,0,0.197088894,0.251170494,0.002038411,0.337898525,0.014969583,0.196834092,0,0.196251363,0.298008182,0.003977973,0.324155212,0.010405017,0.167202254,0,0.157283331,0.357976034,0.00223735,0.327998726,0.011361917,0.143142641,0.013925618,0.143001269,0.371609675,0.00467754,0.331025135,0.014037716,0.121723047,0.047798867,0.17009191,0.347438942,0.004929944,0.321656716,0.012988438,0.095095184,0.049408461,0.173803271,0.361239242,0.003666242,0.315361814,0.012865649,0.083655321,0.051301601,0.173351674,0.382151239,0.004910987,0.299600074,0.013265836,0.075418588
San Felasco Park ,N,NA,Natural,0,0,0.996805112,0,0,0,0.003194888,0,0.090723751,0.753312946,0,0.090214067,0,0.065749235,0,0.138818136,0.611563933,0,0.204788589,0.000127356,0.044701987,0,0.19106921,0.273656719,0.005510081,0.368251744,0.007866994,0.153645253,0,0.189510935,0.322938637,0.003637908,0.328685682,0.00951235,0.145714488,0,0.157051052,0.360057972,0.002237671,0.337609594,0.012550069,0.130493641,0.011650901,0.144341719,0.375733915,0.005117019,0.329043668,0.014107478,0.1200053,0.047763645,0.16308864,0.355859682,0.004929961,0.320171434,0.014542147,0.093644491,0.05195825,0.169154242,0.360985288,0.003640354,0.321131214,0.013237887,0.079892766,0.051818598,0.171597221,0.38519042,0.004272262,0.301154665,0.013167168,0.072799666
Springtree Park ,N,NA,Manicured,0,0.613924051,0.386075949,0,0,0,0,0,0.312595614,0.334013259,0,0.353391127,0,0,0,0.331124984,0.102560836,0,0.554720347,0.011084215,0.000509619,0,0.292387047,0.071894801,0.003725284,0.603559716,0.01779858,0.010634572,0,0.291507431,0.060169851,0.017282378,0.606185421,0.015711253,0.009143666,0,0.246671657,0.10712807,0.012278243,0.614955251,0.012047329,0.006919451,0,0.261949049,0.144468962,0.018080916,0.561206549,0.008806038,0.005488485,0,0.306156176,0.141921876,0.013617479,0.518394921,0.008507386,0.011402162,0.000340599,0.307823107,0.171677279,0.013902142,0.469519028,0.009687559,0.027050286,0.000437949,0.29025843,0.205885632,0.011601658,0.434253954,0.009475616,0.048086762
Springtree Park ,N,NA,Natural,0,0.176656151,0.823343849,0,0,0,0,0,0.282208589,0.29805726,0,0.419734151,0,0,0,0.313790466,0.103874586,0,0.571883762,0.010451185,0,0,0.294119521,0.06638634,0.004204893,0.609327217,0.015322375,0.010639653,0,0.292423985,0.058037484,0.015259612,0.609520978,0.015585188,0.009172754,0,0.248343844,0.110221989,0.012715778,0.609752214,0.012046946,0.006919231,0,0.261954029,0.146312624,0.018413944,0.558442485,0.008745732,0.006131186,0,0.305425396,0.14131158,0.013618347,0.518544734,0.009254672,0.011845272,0.000486227,0.307116076,0.173583051,0.013637758,0.467204377,0.009966354,0.028006157,0.000437978,0.285952045,0.209926977,0.011602443,0.433112752,0.009370745,0.04959706
Green Acres Park ,Y,GA,Manicured,0,0,0.834951456,0,0.165048544,0,0,0,0.096938776,0.635204082,0,0.267857143,0,0,0,0.101798699,0.565633372,0,0.326317132,0.004209721,0.002041077,0,0.175164107,0.459594672,0,0.290739915,0.00401504,0.070486266,0,0.248392852,0.302455326,0.042352242,0.330718473,0.0053666,0.070714508,0.001154753,0.28513634,0.263299567,0.044716807,0.337745285,0.006355122,0.061592125,0.000738974,0.314629647,0.241384582,0.041805543,0.32190217,0.009927733,0.069611351,0.000513216,0.331629692,0.237796073,0.029062195,0.329920151,0.009082157,0.061996517,0.001612236,0.343198313,0.230929454,0.021947217,0.341640685,0.009426382,0.051245713,0.00668911,0.350212718,0.219717345,0.016937781,0.343810284,0.013451879,0.049180883
Green Acres Park,N,NA,Natural,0,0.09148265,0.782334385,0,0.126182965,0,0,0,0.084349593,0.615345528,0,0.300304878,0,0,0,0.107615894,0.527763627,0,0.352521651,0.004202751,0.007896077,0,0.155808177,0.47216915,0,0.284422367,0.003980385,0.083619921,0,0.235676272,0.307846912,0.033289928,0.341080224,0.005279398,0.076827266,0.001154551,0.276017199,0.266884306,0.04337925,0.336260849,0.005947926,0.07035592,0.000738955,0.306207733,0.245496196,0.041789189,0.322113106,0.010778553,0.072876268,0.000870599,0.326662278,0.243109526,0.029186308,0.329313005,0.009279314,0.06157897,0.001120654,0.340140459,0.235498457,0.02195805,0.339789442,0.009396849,0.05209609,0.006013855,0.349609826,0.221405821,0.016936736,0.34359398,0.012670701,0.049769081
Duval Park,N,NA,Manicured,0,0,0.076677316,0,0.044728435,0,0.878594249,0,0.178790984,0.063012295,0,0.358606557,0,0.399590164,0,0.323762124,0.100178663,0,0.453420112,0,0.122639102,0,0.37186634,0.154620457,0.009142165,0.389035772,0.009970376,0.06536489,0,0.366737468,0.273633532,0.033800623,0.269427924,0.007943925,0.048456528,0.001226613,0.351854654,0.305370811,0.020764801,0.257070944,0.006539279,0.057172897,0.007691563,0.333086972,0.323494182,0.015816381,0.261778183,0.004541539,0.05359118,0.011134943,0.341810189,0.326548309,0.016691796,0.245726178,0.004919762,0.053168822,0.015058612,0.348586971,0.329274191,0.026063282,0.220652479,0.007728232,0.052636232,0.019586373,0.337863935,0.345877266,0.03110367,0.20508752,0.00937709,0.051104147
Reserve Park,Y,RP,Manicured,0,0.662460568,0,0,0.337539432,0,0,0,0.436799185,0,0,0.563200815,0,0,0,0.425385498,0.025997196,0.046896903,0.501720403,0,0,0,0.420412194,0.009046603,0.047494664,0.522568726,0.000477814,0,0,0.512201682,0.01957648,0.031325199,0.427978937,0.002930102,0.0059876,0,0.545397361,0.047877635,0.017620689,0.371244755,0.003798043,0.014061517,0.000239542,0.522812525,0.092641483,0.015712917,0.336433785,0.006406467,0.025753282,0.006625188,0.477509042,0.152386413,0.016467416,0.300302947,0.010872104,0.03583689,0.007267442,0.432429692,0.210370991,0.018510525,0.277972501,0.009160357,0.044288493,0.0057516,0.399864621,0.249713814,0.025674156,0.263166068,0.009042495,0.046787247
Dudley Farm State Park ,N,NA,Natural,0,0,0.932475884,0,0.067524116,0,0,0.20255102,0.048469388,0.570408163,0.120918367,0.057653061,0,0,0.251019888,0.073941866,0.524477307,0.03391127,0.116649669,0,0,0.367445121,0.051932329,0.515022143,0.008474846,0.057125562,0,0,0.277179222,0.043492419,0.633584868,0.003765945,0.041977546,0,0,0.245644072,0.040294324,0.666759572,0.002118239,0.045183793,0,0,0.241436777,0.043120627,0.671114124,0.002028367,0.042300107,0,0,0.250269867,0.054104273,0.658039193,0.001408615,0.033559018,0.002619033,0,0.282832091,0.053271378,0.610341725,0.001034901,0.033239031,0.019145661,0.000135213,0.296780872,0.058079672,0.583301149,0.000792339,0.036027553,0.024781509,0.000236905
Dudley Farm State Park ,Y,DF,Manicured,0,0.094936709,0.424050633,0.107594937,0.373417722,0,0,0.119083969,0.064122137,0.44173028,0.084478372,0.290585242,0,0,0.399057445,0.093363903,0.341867278,0.033881034,0.13183034,0,0,0.386638645,0.054165075,0.491083938,0.008470259,0.059642084,0,0,0.253164019,0.041365837,0.658724766,0.003765679,0.042979699,0,0,0.238622249,0.041529985,0.672457722,0.002117902,0.045272142,0,0,0.246626305,0.041050024,0.667364848,0.002028294,0.042930528,0,0,0.258592744,0.050059456,0.655040982,0.00140853,0.034254187,0.000644102,0,0.285899633,0.05273435,0.612224947,0.001034823,0.035397172,0.012573874,0.000135203,0.297328396,0.05548057,0.587593566,0.000792324,0.03632545,0.022242793,0.000236901
Dudley Farm State Park ,N,NA,Manicured,0.14556962,0,0.006329114,0,0.848101266,0,0,0.455882353,0.014705882,0.242393509,0,0.287018256,0,0,0.412550916,0.042897149,0.378946029,0.020621181,0.144984725,0,0,0.293548182,0.044869754,0.59817846,0.008470798,0.054932807,0,0,0.214608253,0.038290042,0.703899781,0.003765305,0.03943662,0,0,0.229493968,0.039550902,0.690719433,0.002118087,0.03811761,0,0,0.23324144,0.044159537,0.677792329,0.002028098,0.042778596,0,0,0.248551722,0.051143582,0.65989801,0.001408466,0.037522516,0.001475704,0,0.261433133,0.052763506,0.633726312,0.001034884,0.038132112,0.012774842,0.000135211,0.274967105,0.05632914,0.6075075,0.000792275,0.036779065,0.023521402,0.000103513
